zilo_l,zilo_c,eng,rus,pos,remove
tsertsedaqχi,церцедахъи,bow.obl,лук.obl,Noun,
tʃor,чор,stallion.pl,жеребец.pl,Noun,
za,за,fist.obl,кулак.obl,Noun,
kisaw,кисав,pocket,карман,Noun,
ʃːek'i,щек1и,penis.pl.obl,член.pl.obl,Noun,
ħeleko,х1элеко,rooster.pl,петух.pl,Noun,
ts'ːon,ц1ц1он,salt,соль,Noun,
tʃon,чон,animal.obl,зверь.obl,Noun,
ts'iq'u,ц1икъу,hoar_frost.obl,иней.obl,Noun,
kʷerq'in,кверкъин,bracelet.pl.obl,браслет.pl.obl,Noun,
t'ent'a,т1ент1а,fly.obl,муха.obl,Noun,
ɡama,гама,ladle.pl.obl,половник.pl.obl,Noun,
miɡaʒu,мигажу,beard.pl.obl,борода.pl.obl,Noun,
ɡedu,геду,cat.pl,кошка.pl,Noun,
ruq'il,рукъил,log,бревно,Noun,
retʃ'ːo,реч1ч1о,cave,пещера,Noun,
rek'ul,рек1ул,key,ключ,Noun,
rahal,рагьал,edge.pl,край.pl,Noun,
arkom,арком,spoon.pl,ложка.pl,Noun,
miɬijol,милъийол,sun_slope,солнечный_склон,Noun,
ɡaɡa,гага,grain,зернышко,Noun,
mat'u,мат1у,mirror.obl,зеркало.obl,Noun,
mijar,мияр,head.pl,голова.pl,Noun,
besun,бесун,knife.pl.obl,нож.pl.obl,Noun,
piri,пири,lightning,молния,Noun,
ima,има,father,отец,Noun,
motʃi,мочи,wind.pl,ветер.pl,Noun,
reχːin,реххин,shovel,широкая_лопата,Noun,
baħaraw,бах1арав,bridegroom.pl,невеста.pl,Noun,
ʁa,гъа,udder.pl.obl,вымя.pl.obl,Noun,
reɬo,релъо,lake.obl,озеро.obl,Noun,
wotsːi,воцци,brother,брат,Noun,
hitɬ'im,гьикьим,root.pl.obl,корень.pl.obl,Noun,
ɬiru,лъиру,feather.pl,перо.pl,Noun,
reʃin,решин,sky,небо,Noun,
kokom,коком,plum.pl.obl,слива.pl.obl,Noun,
hoʔor,гьоъор,floor,пол,Noun,
zurdil,зурдил,saliva.obl,слюна.obl,Noun,
nitʃo,ничо,scythe.pl.obl,коса.pl.obl,Noun,
q'iri,къири,wheat.pl,пшеница.pl,Noun,
ʃen,шен,seed.pl,семя.pl,Noun,
reɬo,релъо,sea,море,Noun,
rebts'u,ребц1у,plough.pl.obl,соха.pl.obl,Noun,
watɬ'uɬir,вакьулъир,armpit.pl.obl,подмышка.pl.obl,Noun,
tok'iʃːi,ток1ищи,baby_donkey.pl,осленок.pl,Noun,
tʃ'aʔa,ч1аъа,alcoholic_drink.pl,алкогольный_напиток.pl,Noun,
rek'ul,рек1ул,key.pl,ключ.pl,Noun,
ʁʷarzawu,гъварзаву,maul.pl.obl,кувалда.pl.obl,Noun,
ʁa,гъа,udder,вымя,Noun,
reʃin,решин,year.pl,год.pl,Noun,
ɡuɡu,гугу,cuckoo,кукушка,Noun,
ʃːekib,щекиб,bird.obl,птица.obl,Noun,
muɬa,мулъа,fingernail.obl,ноготь.obl,Noun,
ɡaɡa,гага,pit.pl,косточка.pl,Noun,
bestal,бестал,orphan(female).obl,сирота(female).obl,Noun,
tʃarχi,чархи,whetstone.obl,точило.obl,Noun,
hints'u,гьинц1у,door.pl.obl,дверь.pl.obl,Noun,
miq'i,микъи,road.pl,дорога.pl,Noun,
oχo,охо,eye_fluid.obl,выделения_из_глаз.obl,Noun,
dan,дан,thing,вещь,Noun,
tɬ'ertʃin,кьерчин,lizard,ящерица,Noun,
rok'or,рок1ор,heart,сердце,Noun,
moʔo,моъо,tear,слеза,Noun,
χʷej,хвей,dog,собака,Noun,
nitʃo,ничо,scythe.obl,коса.obl,Noun,
ħukumat,х1укумат,country,страна,Noun,
om,ом,roof.pl,крыша.pl,Noun,
taj,тай,foal.pl.obl,жеребенок.pl.obl,Noun,
ʕurts'im,г1урц1им,mule.pl,мул.pl,Noun,
pera,пера,bee.pl.obl,пчела.pl.obl,Noun,
purχul,пурхул,bellows.pl.obl,кузнечный_мех.pl.obl,Noun,
ɬedir,лъедир,calf,теленок,Noun,
beχun,бехун,shoulder,плечо,Noun,
ala,ала,lid.pl,крышка.pl,Noun,
ɡaru,гару,neck.pl,шея.pl,Noun,
hotɬ'u,гьокьу,comb.pl,расческа.pl,Noun,
rebtsu,ребцу,plough.pl,соха.pl,Noun,
sːahi,ссагьи,flour_measure,мерка_для_муки,Noun,
ts'ːĩja,ц1ц1и̃йа,goat.obl,коза.obl,Noun,
q'orolawlalʃu,къоролавлалшу,widower.pl.obl,вдовец.pl.obl,Noun,
q'amu,къаму,rooster_comb.pl,петушиный_гребень.pl,Noun,
maʕajʃati,маг1айшати,property,собственность,Noun,
k'ʷentɬ'a,к1венкьа,pitchfork,вилы,Noun,
ɬaχib,лъахиб,leaf.obl,лист.obl,Noun,
k'ʷerdi,к1верди,grass.pl.obl,трава.pl.obl,Noun,
tɬ'ertɬ'il,кьеркьил,saddle.pl.obl,седло.pl.obl,Noun,
tʃ'ːe,ч1ч1е,ash_tree.pl.obl,ясень.pl.obl,Noun,
woʃo,вошо,son,сын,Noun,
hunts'ːi,гьунц1ц1и,honey.obl,мед.obl,Noun,
hits'itʃol,гьиц1ичол,swallow.pl,ласточка.pl,Noun,
ketʃ'i,кеч1и,song.pl.obl,песня.pl.obl,Noun,
ɡama,гама,ladle.pl,половник.pl,Noun,
ʕurts'im,г1урц1им,mule.pl.obl,мул.pl.obl,Noun,
ʃːekib,щекиб,bird,птица,Noun,
rit'utʃ'i,рит1уч1и,deer.pl.obl,олень.pl.obl,Noun,
qχiru,хъиру,whetstone.pl,точило.pl,Noun,
χur,хур,field.pl,поле.pl,Noun,
motɬ'i,мокьи,dream,сон,Noun,
kun,кун,ram.pl,баран.pl,Noun,
tʃiraqχi,чирахъи,lamp,лампа,Noun,
ɡaɡa,гага,grain.obl,зернышко.obl,Noun,
q'ʷank'ʷa,къванк1ва,throat.obl,горло.obl,Noun,
q'unu,къуну,tombstone.pl.obl,могильный_камень.pl.obl,Noun,
ĩntsːi,и2нцци,brook.obl,ручей.obl,Noun,
qχaba,хъаба,pitcher.pl.obl,кувшин.pl.obl,Noun,
rok'o,рок1о,heart.pl,сердце.pl,Noun,
ʁaduk'olu,гъадук1олу,treetrunk.obl,пенек.obl,Noun,
sedu,седу,in_front,впереди,Noun,
miqχur,михъур,line,линия,Noun,
jatsʔal,йацъал,cousin(female),двоюродная_сестра,Noun,
di,ди,loc.lat,loc.lat,Noun,
koʃːi,кощи,broth,бульон,Noun,
ɡaɡa,гага,pit.obl,косточка.obl,Noun,
hints'u,гьинц1у,door,дверь,Noun,
sit'a,сит1а,straw,солома,Noun,
k'ʷentɬ'a,к1венкьа,fork.pl,вилка.pl,Noun,
anʒidi,анжиди,axe,топор,Noun,
sandiɡi,сандиги,chest,сундук,Noun,
ilatɬ'oru,илакьору,mother_in_law.pl,теща/свекровь.pl,Noun,
hits'itʃol,гьиц1ичол,swallow.pl.obl,ласточка.pl.obl,Noun,
tʃ'aχa,ч1аха,grass.pl.obl,трава.pl.obl,Noun,
zar,зар,ice,лед,Noun,
natʃalьnik,начальник,manager.obl,начальник.obl,Noun,
ortʃoɡi,орчоги,trousers,штаны,Noun,
pipi,пипи,beech.pl.obl,бук.pl.obl,Noun,
beʒun,бежун,needle,игла,Noun,
hortʃ'ːi,гьорч1ч1и,female.obl,самка.obl,Noun,
reʃa,реша,tree.pl.obl,дерево.pl.obl,Noun,
zarar,зарар,loss.obl,убыток.obl,Noun,
ɡiza,гиза,basket,корзина,Noun,
ʒuna,жуна,chin.pl.obl,подбородок.pl.obl,Noun,
ala,ала,lid,крышка,Noun,
ʔʷen,ъвен,horn.pl.obl,рог.pl.obl,Noun,
ts'ːum,ц1ц1ум,eagle.pl.obl,орел.pl.obl,Noun,
rihi,ригьи,time.obl,время.obl,Noun,
joʃu,йошу,woman,женщина,Noun,
ts'ːe,ц1ц1е,guest.pl.obl,гость.pl.obl,Noun,
moʁortʃ'u,могъорч1у,tail,хвост,Noun,
reʃin,решин,sky.obl,небо.obl,Noun,
tuʃman,тушман,enemy,враг,Noun,
hiro,гьиро,cloud.pl,облако.pl,Noun,
tsertsedaqχi,церцедахъи,bow,лук,Noun,
uʃkulu,ушкулу,school.obl,школа.obl,Noun,
qχuqχadir,хъухъадир,saw.obl,пила.obl,Noun,
ruʕ,руг1,spirit,душа,Noun,
dada,дада,father,отец,Noun,
tsertsedaqχi,церцедахъи,bow.pl,лук.pl,Noun,
joʃikʷa,йошиква,woman.obl,женщина.obl,Noun,
kunt'a,кунт1a,man.pl,мужчина.pl,Noun,
t'uka,т1ука,goat,козел,Noun,
past'an,паст1ан,melon,дыня,Noun,
pipi,пипи,beech,бук,Noun,
tʃ'omudul,ч1омудул,flint.pl,кремень.pl,Noun,
q'eb,къеб,ploughshare.pl,сошник.pl,Noun,
onχur,онхур,mole,крот,Noun,
baɡin,багин,hole,дыра,Noun,
jotsːi,йоцци,sister.pl,сестра.pl,Noun,
qχazi,хъази,goose,гусь,Noun,
hints'u,гьинц1у,door.obl,дверь.obl,Noun,
raχasi,рахаси,chain.pl.obl,цепь.pl.obl,Noun,
baba,баба,mother,мать,Noun,
ħetʃ'ink'a,х1еч1инк1а,maize.pl,кукуруза.pl,Noun,
sːim,ссим,anger.obl,гнев.obl,Noun,
k'ak'u,к1ак1у,spinning_top.pl.obl,юла.pl.obl,Noun,
ʃːiwũ,щиву̃,milk.pl.obl,молоко.pl.obl,Noun,
redːon,реддон,speech,речь,Noun,
k'ontʃa,к1онча,onion.pl,лук.pl,Noun,
ɬiru,лъиру,wing,крыло,Noun,
ɡoʒo,гожо,molartooth.pl.obl,коренной_зуб.pl.obl,Noun,
ʁalaj,гъалай,tin.pl,олово.pl,Noun,
ts'ːum,ц1ц1ум,eagle.obl,орел.obl,Noun,
biʃo,бишо,fur_coat.pl,тулуп.pl,Noun,
alʒan,алжан,heaven,рай,Noun,
ts'ːuku,ц1ц1уку,hide.obl,шкруа.obl,Noun,
za,за,fist.pl,кулак.pl,Noun,
pat'ina,Пат1ина,Patimat,Патимат,Noun,
rit'utʃ'i,рит1уч1и,deer.obl,олень.obl,Noun,
onʃːi,онщи,earth.pl.obl,земля.pl.obl,Noun,
tɬ'ibdir,кьибдир,dance.pl.obl,танец.pl.obl,Noun,
ʒuna,жуна,chin,подбородок,Noun,
kokom,коком,plum.pl,слива.pl,Noun,
ensib,энсиб,eyebrow,бровь,Noun,
ila,ила,mother.pl.obl,мать.pl.obl,Noun,
antʃːu,анччу,shadow.pl,тень.pl,Noun,
tʃunk'a,чунк1а,leg.pl.obl,нога.pl.obl,Noun,
berka,берка,snake.pl,змея.pl,Noun,
kun,кун,ram,баран,Noun,
motɬ'i,мокьи,dream,мечта,Noun,
ʁalaj,гъалай,tin.pl.obl,олово.pl.obl,Noun,
reχin,рехин,wedding.pl,свадьба.pl,Noun,
araq'i,аракъи,alcoholic_drink,спиртной_напиток,Noun,
χink'ilaχom,хинк1илахом,skimmer.pl,шумовка.pl,Noun,
tok'iʃːi,ток1ищи,baby_donkey.pl.obl,осленок.pl.obl,Noun,
miʃu,мишу,salary,заплата,Noun,
t'amsa,т1амса,carpet.pl.obl,ковер.pl.obl,Noun,
sːim,ссим,anger,гнев,Noun,
beχumoʁul,бехумогъул,fat_tail,курдюк,Noun,
tɬ'utʃ'ːi,кьуч1ч1и,foundation.pl.obl,фундамент.pl.obl,Noun,
t'uʃi,т1уши,lead,свинец,Noun,
hink'ːur,гьинк1к1ур,urine.pl.obl,моча.pl.obl,Noun,
sapun,сапун,soap,мыло,Noun,
roʃo,рошо,word.pl.obl,слово.pl.obl,Noun,
t'amsa,т1амса,carpet.pl,ковер.pl,Noun,
pera,пера,bee.pl,пчела.pl,Noun,
tʃ'omu,ч1ому,flint,кремень,Noun,
miχi,михи,sheep_wool.obl,овечья_шерсть.obl,Noun,
mits'i,миц1и,tongue,язык,Noun,
o,о,broth,бульон,Noun,
ħal,х1ал,mood,настроение,Noun,
kʷanorɬir,кванорлъир,light.pl,свет.pl,Noun,
nitʃ'a,нич1а,gadfly.pl,слепень.pl,Noun,
tʃonuqχan,чонухъан,hunter,охотник,Noun,
zĩwu,зи̃ву,cow,корова,Noun,
miɡa,мига,spindle.pl.obl,веретено.pl.obl,Noun,
kʷerq'in,кверкъин,bracelet.pl,браслет.pl,Noun,
ɬedir,лъедир,calf.pl.obl,теленок.pl.obl,Noun,
ɡirɡin,гиргин,roof_roller.obl,каток_для_крыши.obl,Noun,
bil,бил,mountain.pl,гора.pl,Noun,
tʃakmaji,чакмайи,boot.pl,сапог.pl,Noun,
rihi,ригьи,time,время,Noun,
zumajrati,зумайрати,Zumairat,Зумайрат,Noun,
q'arq'ala,къаркъала,body.obl,тело.obl,Noun,
anɬi,анлъи,ram,баран,Noun,
χunsir,хунсир,lung.pl.obl,легкое.pl.obl,Noun,
mat'u,мат1у,mirror,зеркало,Noun,
tsːili,ццили,tower,башня,Noun,
tɬ'aq'oba,кьакъоба,room.pl.obl,комната.pl.obl,Noun,
ilatɬ'oru,илакьору,mother_in_law,теща/свекровь,Noun,
χutʃa,хуча,book,книга,Noun,
hark'u,гьарк1у,eye.obl,глаз.obl,Noun,
χodij,ходий,fiancee,невеста,Noun,
habu,гьабу,charcoal.pl,древесный_уголь.pl,Noun,
tɬ'ank'ala,кьанк1ала,hare.pl.obl,заяц.pl.obl,Noun,
k'ak'u,к1ак1у,spinning_top.pl,юла.pl,Noun,
hon,гьон,village,селение,Noun,
haq'u,гьакъу,room,комната,Noun,
sek'u,сек1у,cork,пробка,Noun,
nuso,нусо,son_in_law.pl,зять.pl,Noun,
nusa,нуса,daughter_in_law.pl,невестка.pl,Noun,
besun,бесун,knife.pl,нож.pl,Noun,
zubu,зубу,day.obl,день.obl,Noun,
reʔa,реъа,hand.pl.obl,рука.pl.obl,Noun,
reɬo,релъо,night,ночь,Noun,
tɬ'ank'ala,кьанк1ала,hare.obl,заяц.obl,Noun,
tʃor,чор,stallion,жеребец,Noun,
piqχi,пихъи,fruits,фрукты,Noun,
ts'ːum,ц1ц1ум,eagle,орел,Noun,
tɬ'ertʃin,кьерчин,lizard.pl.obl,ящерица.pl.obl,Noun,
k'ʷentɬ'a,к1венкьа,fork.pl.obl,вилка.pl.obl,Noun,
intsːi,инцци,spring.pl,родник.pl,Noun,
bots'o,боц1о,wolf,волк,Noun,
ts'ana,ц1ана,splinter.pl,заноза.pl,Noun,
q'orolaw,къоролав,widower,вдовец,Noun,
tʃ'ora,ч1ора,heifer.pl,телка.pl,Noun,
sandiɡi,сандиги,chest.pl.obl,сундук.pl.obl,Noun,
kːub,ккуб,iron.pl,железо.pl,Noun,
hints'o,гьинц1о,stone.pl,камень.pl,Noun,
kːubajdir,ккубайдир,prayer,молитва,Noun,
inɡura,ингура,chudu(pastry).pl.obl,чуду(выпечка).pl.obl,Noun,
otpuska,отпуска,holiday,отпуск,Noun,
irsa,ирса,trough.pl,корыто.pl,Noun,
kartuʃːi,картущи,potato,картофель,Noun,
sinortɬa,синорл1а,mite.obl,клещ.obl,Noun,
ʃːek',щек1,vein.pl.obl,жила.pl.obl,Noun,
roχon,рохон,stairs,лестница,Noun,
ts'ːon,ц1ц1он,salt.pl.obl,соль.pl.obl,Noun,
tʃakmaji,чакмайи,boot,сапог,Noun,
honu,гьону,brain.pl.obl,мозг.pl.obl,Noun,
burtina,буртина,shepherd's_coat,бурка,Noun,
tʃ'itʃ'om,ч1ич1ом,pebble.pl.obl,камешек.pl.obl,Noun,
ts'ːana,ц1ц1ана,thorn.pl,колючка.pl,Noun,
ʁobʁo,гъобгъо,partridge,куропатка,Noun,
qχaba,хъаба,pitcher.obl,кувшин.obl,Noun,
belimol,белимол,thrasher,молотильня,Noun,
hotɬ'u,гьокьу,comb.obl,расческа.obl,Noun,
ts'ːikon,ц1ц1икон,corner.obl,угол.obl,Noun,
ts'ːikon,ц1ц1икон,corner,угол,Noun,
ts'er,ц1ер,name.pl.obl,имя.pl.obl,Noun,
χodij,ходий,fiancee.obl,невеста.obl,Noun,
tɬ'inu,кьину,winter,зима,Noun,
ts'umur,ц1умур,wood_chip.pl,щепка.pl,Noun,
iha,игьа,armed_band,вооруженный_отряд,Noun,
telewzor,телевзор,television.obl,телевизор.obl,Noun,
iʃom,ишом,young_goat.pl,молодой_козел.pl,Noun,
umalaj,Умалай,Umalaj,Умалай,Noun,
ritɬ'i,рикьи,meat,мясо,Noun,
ʃu,шу,grave,могила,Noun,
ts'ːuku,ц1ц1уку,hide.pl,шкура.pl,Noun,
tʃeleki,челеки,bucket,ведро,Noun,
urʁel,ургъел,grief,горе,Noun,
motʃ'i,моч1и,boy,мальчик,Noun,
reɬo,релъо,sea.pl.obl,море.pl.obl,Noun,
riʒi,рижи,face.pl,лицо.pl,Noun,
ts'ːikon,ц1ц1икон,corner.pl.obl,локоть.pl.obl,Noun,
enʔi,энъи,dry_nasal_mucus.pl.obl,козявка.pl.obl,Noun,
ts'ːe,ц1ц1е,guest,гость,Noun,
ruzman,рузман,Friday,пятница,Noun,
t'uka,т1ука,goat.pl.obl,козел.pl.obl,Noun,
ɡoʒo,гожо,molartooth.pl,коренной_зуб.pl,Noun,
orsi,орси,silver.pl.obl,серебро.pl.obl,Noun,
χasaptʃi,хасапчи,butcher,мясник,Noun,
ilajma,илайма,parents,родители,Noun,
ɡaɡa,гага,grain.pl.obl,зернышко.pl.obl,Noun,
reɬo,релъо,night.obl,ночь.obl,Noun,
anʒidi,анжиди,axe.pl,топор.pl,Noun,
stakan,стакан,glass (container),стакан,Noun,
hek'ʷa,гьек1ва,man,мужчина,Noun,
rejqχur,рейхъур,war,война,Noun,
buhu,бугьу,owl,сова,Noun,
awʔal,авъал,nut,орех,Noun,
ensib,энсиб,eyebrow.pl.obl,бровь.pl.obl,Noun,
qχaman,хъаман,boar.obl,кабан.obl,Noun,
el,эл,sour_cream,сметана,Noun,
hiro,гьиро,cloud,облако,Noun,
hink'ːu,гьинк1к1у,mouse,мышь,Noun,
militsol,милицол,police.pl,полицейский.pl,Noun,
huma,гьума,post.pl.obl,опорный_столб.pl.obl,Noun,
muhu,мугьу,bread.pl.obl,хлеб.pl.obl,Noun,
itʃa,ича,mare.pl.obl,кобыла.pl.obl,Noun,
tʃarχi,чархи,reel,катушка,Noun,
reʃi,реши,oven,печь,Noun,
ɡaza,газа,pick_axe.pl.obl,кирка.pl.obl,Noun,
k'ːʷej,к1к1вей,smoke,дым,Noun,
ɬiru,лъиру,wing.pl.obl,крыло.pl.obl,Noun,
ts'umur,ц1умур,wood_chip.obl,щепка.obl,Noun,
miq'i,микъи,road,дорога,Noun,
χʷej,хвей,dog.obl,собака.obl,Noun,
tomil,томил,gums.obl,десна.obl,Noun,
sandiɡi,сандиги,chest.pl,сундук.pl,Noun,
ʁaʒu,гъажу,arm.pl,рука.pl,Noun,
rihi,ригьи,time.obl,время.obl,Noun,
ts'ːa,ц1ц1а,rain.pl.obl,дождь.pl.obl,Noun,
k'urk'ul,к1урк1ул,cherry_plum.obl,алыча.obl,Noun,
kreslo,кресло,armchair.obl,кресло.obl,Noun,
χarχal,хархал,screw,винт,Noun,
kːubajdir,ккубайдир,prayer.obl,молитва.obl,Noun,
mok'o,мок1о,stool.pl,табурет.pl,Noun,
tok'iʃːi,ток1ищи,baby_donkey,осленок,Noun,
ʁa,гъа,udder.pl,вымя.pl,Noun,
q'en,къен,wall.pl,стена.pl,Noun,
ʃːib,щиб,dew.pl,роса.pl,Noun,
bura,бура,lamb.pl.obl,ягненок.pl.obl,Noun,
iʃk'ol,ишк1ол,young_sheep.obl,молодая_овца.obl,Noun,
ɬol,лъол,horseshoe.pl,подкова.pl,Noun,
miqχi,михъи,mustache.pl.obl,усы.pl.obl,Noun,
hink'ːu,гьинк1к1у,mouse.pl,мышь.pl,Noun,
hink'ːur,гьинк1к1ур,urine.pl,моча.pl,Noun,
holi,гьоли,pea.pl,горох.pl,Noun,
unso,унсо,ox.pl,вол.pl,Noun,
imatɬ'oru,имакьору,father_in_law.obl,тесть/свекор.obl,Noun,
χːin,ххин,board.pl,доска.pl,Noun,
taleʕ,талег1,luck,удача,Noun,
mahar,магьар,nose.pl,нос.pl,Noun,
q'eb,къеб,ploughshare.pl.obl,сошник.pl.obl,Noun,
aliba,алиба,sheaf.obl,сноп.obl,Noun,
q'urru,къурру,frog,лягушка,Noun,
oχodoro,оходоро,morning,утро,Noun,
roqχi,рохъи,ditch,канава,Noun,
reka,река,belly.pl,живот.pl,Noun,
ʁun,гъун,stack.pl.obl,стог.pl.obl,Noun,
t'ent'a,т1ент1а,fly.pl,муха.pl,Noun,
dan,дан,ewe.pl,овцематка.pl,Noun,
nuso,нусо,nephew,племянник,Noun,
ɬen,лъен,water.pl,вода.pl,Noun,
ʃːiwũ,щиву̃,milk.pl,молоко.pl,Noun,
ts'ipila,ц1ипила,kizyak,кизяк,Noun,
ɬuts'i,лъуц1и,swamp.pl.obl,болото.pl.obl,Noun,
ila ,ила ,mother,мать,Noun,
ʁan,гъан, flat_cake.pl,лепешка.pl,Noun,
olil,олил,leaf.pl,лист.pl,Noun,
berka,берка,snake.obl,змея.obl,Noun,
tʃarʁit'i,чаргъит1и,magpie.pl,сорока.pl,Noun,
mijartɬol,миярл1ол,relatives,родственники,Noun,
miʁul,мигъул,back,спина,Noun,
ts'umur,ц1умур,wood_chip.pl.obl,щепка.pl.obl,Noun,
tɬ'ertɬ'il,кьеркьил,saddle,седло,Noun,
anɬi,анлъи,ram.pl.obl,баран.pl.obl,Noun,
nusa,нуса,daughter_in_law.pl.obl,невестка.pl.obl,Noun,
ts'iq'u,ц1икъу,hoar_frost.pl,иней.pl,Noun,
itʃa,ича,mare,кобыла,Noun,
intsirt'a,инцирт1а,mint.pl,мята.pl,Noun,
kots'il,коц1ил,besom.pl,веник.pl,Noun,
k'urk'ul,к1урк1ул,cherry_plum.pl.obl,алыча.pl.obl,Noun,
ts'a,ц1а,fire,огонь,Noun,
talat,талат,Tuesday,вторник,Noun,
ɬudi,лъуди,firewood.obl,полено.obl,Noun,
χunsir,хунсир,lung.obl,легкое.obl,Noun,
uʃkul,ушкул,school,школа,Noun,
ʃen,шен,seed,семя,Noun,
χink'il,хинк1ил,khinkal.pl.obl,хинкал.pl.obl,Noun,
χoroʃa,хороша,herdsman,пастух,Noun,
ts'ːĩja,ц1ц1и̃йа,goat.pl,коза.pl,Noun,
ʃu,шу,grave.pl.obl,могила.pl.obl,Noun,
hints'u,гьинц1у,door.pl,дверь.pl,Noun,
t'uka,т1ука,goat.pl,козел.pl,Noun,
motʃ'i,моч1и,child.pl.obl,ребенок.pl.obl,Noun,
ʁanni,гъанни,crow.pl,ворона.pl,Noun,
roçoçoʃa,рохьохьоша,poplar,тополь,Noun,
iʃk'ol,ишк1ол,young_sheep.pl.obl,молодая_овца.pl.obl,Noun,
mijar,мияр,head.pl.obl,голова.pl.obl,Noun,
ħajman,х1айман,sheep.pl,овца.pl,Noun,
χunsir,хунсир,lung.pl,легкое.pl,Noun,
q'arq'a,къаркъа,corn_bread,кукурузный_хлеб,Noun,
χink'il,хинк1ил,knee.obl,колено.obl,Noun,
ɡama,гама,ladle,половник,Noun,
r,р,¬an2(gen),¬an2(gen),Noun,aff
kʷerq'in,кверкъин,bracelet.obl,браслет.obl,Noun,
q'inkom,къинком,bull-calf.pl,бычок.pl,Noun,
tʃ'amtʃ'altɬi,ч1амч1алл1и,jaw.pl,челюсть.pl,Noun,
sej,сей,bear.pl,медведь.pl,Noun,
sedu,седу,in_front.pl,впереди.pl,Noun,
ruq'il,рукъил,log.obl,бревно.obl,Noun,
milki,милки,house.pl,дом.pl,Noun,
ortʃoɡi,орчоги,trousers.pl.obl,штаны.pl.obl,Noun,
ɬen,лъен,water.pl.obl,вода.pl.obl,Noun,
ʃu,шу,grave.pl,могила.pl,Noun,
intsirt'a,инцирт1а,mint.obl,мята.obl,Noun,
hotɬ'u,гьокьу,comb.pl.obl,расческа.pl.obl,Noun,
betɬ'i,бекьи,cattle_shed.pl,хлев.pl,Noun,
ɡorod,город,city,город,Noun,
riʒi,рижи,face,лицо,Noun,
awʔal,авъал,nut.pl.obl,орех.pl.obl,Noun,
etʃ'ːi,эч1ч1и,spleen,селезенка,Noun,
tɬ'uri,кьури,cliff.obl,скала.obl,Noun,
nidu,ниду,eyelash,ресница,Noun,
di,ди,erg,erg,Noun,aff
daraj,дарай,silk,шелк,Noun,
t'u,т1у,crime,преступление,Noun,
habu,гьабу,charcoal,древесный_уголь,Noun,
ɬiru,лъиру,winug.pl,крыло.pl,Noun,
kʷanorɬir,кванорлъир,light,свет,Noun,
q'ʷank'ʷa,къванк1ва,throat.pl,горло.pl,Noun,
himʔu,гьимъу,bottom,дно,Noun,
tʃalaqχi,чалахъи,tent,палатка,Noun,
odoruk'a,одорук1а,butterfly.obl,бабочка.obl,Noun,
sek'u,сек1у,cork.pl,пробка.pl,Noun,
joʃikʷa,йошиква,woman,женщина,Noun,
iχob,ихоб,mill.pl.obl,мельница.pl.obl,Noun,
zarar,зарар,loss,убыток,Noun,
kuronʒi,куронжи,leech,пиявка,Noun,
nidul,нидул,eyelash.obl,ресница.obl,Noun,
tɬurtɬa,л1урл1а,oil.obl,масло.obl,Noun,
moq'i,мокъи,treetrunk.obl,пинек.obl,Noun,
ts'ek'aɬol,ц1ек1алъол,ring.pl,кольцо.pl,Noun,
intʃi,инчи,apple.pl.obl,яблоко.pl.obl,Noun,
bil,бил,mountain,гора,Noun,
ritɬ'i,рикьи,meat.pl,мясо.pl,Noun,
hotɬ'u,гьокьу,comb,расческа,Noun,
rutɬ'o,рукьо,yoke,ярмо,Noun,
ʃajt'an,шайт1ан,jin,джин,Noun,
parχon,пархон,birdle.pl,уздечка.pl,Noun,
inɡura,ингура,chudu(pastry),чуду(выпечка),Noun,
resi,реси,moth.obl,моль.obl,Noun,
ʕurts'im,г1урц1им,mule,мул,Noun,
k'oʃk'on,к1ошк1он,skein,моток_ниток,Noun,
unso,унсо,ox.pl.obl,вол.pl.obl,Noun,
erq'al,эркъал,ceiling,потолок,Noun,
hiro,гьиро,fog.pl.obl,туман.pl.obl,Noun,
ɬuts'i,лъуц1и,swamp.pl,болото.pl,Noun,
biʃːonni,бищонни,animal,животное,Noun,
ɡudur,гудур,trap.obl,ловушка.obl,Noun,
sur,сур,sand.pl.obl,песок.pl.obl,Noun,
poʃi,поши,mail,почта,Noun,
ʃːib,щиб,dew.obl,роса.obl,Noun,
honno,гьонно,forehead.pl,лоб.pl,Noun,
misiχʷara,мисихвара,spider.pl,паук.pl,Noun,
ʃːen,щен,hail,град,Noun,
χʷami,хвами,fish,рыба,Noun,
ɡaru,гару,neck.obl,шея.obl,Noun,
hitɬ'im,гьикьим,root.obl,корень.obl,Noun,
wotsːi,воцци,brother.pl,брат.pl,Noun,
zar,зар,ice.pl.obl,лед.pl.obl,Noun,
q'aj,къай,dishes.pl,посуда.pl,Noun,
bazar,базар,market,рынок,Noun,
hitɬ'im,гьикьим,root.pl,корень.pl,Noun,
aqχi,ахъи,nidus.pl,очаг.pl,Noun,
χent'i,хент1и,snivel.pl.obl,сопля.pl.obl,Noun,
hudul,гьудул,mate,товарищ,Noun,
iʃom,ишом,young_goat,молодой_козел,Noun,
rok'o,рок1о,heart.pl.obl,сердце.pl.obl,Noun,
kunt'a,кунт1а,male.obl,самец.obl,Noun,
t'ent'a,т1ент1а,fly,муха,Noun,
pusːur,пуссур,rejection,отказ,Noun,
uʒruq'i,ужрукъи,hedgehog.pl,еж.pl,Noun,
miɬi,милъи,sun,солнце,Noun,
χodiw,ходив,fiance.obl,жених.obl,Noun,
